queue_rank,contract_ticker,selection,snapshot_count,positive_snapshot_count,latest_all_in_break_even,latest_margin_probability,min_margin_probability,max_margin_probability,margin_delta_first_to_latest,disposition,robustness_reasons
1,KXNFLGAME-26SEP13MIALV-MIA,MIA,2,2,0.3965,0.24973545236078448,0.24973545236078448,0.24973545236078448,0.0,repeat_positive_cost_caveated,fee is estimated from executable price
2,KXNFLGAME-26SEP14DENKC-DEN,DEN,2,2,0.47740000000000005,0.16099213314318617,0.16099213314318617,0.16099213314318617,0.0,repeat_positive_cost_caveated,fee is estimated from executable price
3,KXNFLGAME-26SEP13TBCIN-TB,TB,2,2,0.3864,0.07930346103461816,0.07930346103461816,0.07930346103461816,0.0,repeat_positive_cost_caveated,fee is estimated from executable price
4,KXNFLGAME-26SEP13GBMIN-MIN,MIN,2,2,0.5475,0.06378319769689422,0.06378319769689422,0.06378319769689422,0.0,repeat_positive_cost_caveated,fee is estimated from executable price
5,KXNFLGAME-26SEP13WASPHI-PHI,PHI,2,2,0.6855,0.05343297933516389,0.05343297933516389,0.05343297933516389,0.0,repeat_positive_cost_caveated,fee is estimated from executable price
6,KXNFLGAME-26SEP13BALIND-IND,IND,2,2,0.3965,0.018836511750430773,0.018836511750430773,0.018836511750430773,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
7,KXNFLGAME-26SEP13NYJTEN-NYJ,NYJ,2,2,0.46740000000000004,0.016110835064844675,0.016110835064844675,0.016110835064844675,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
8,KXNFLGAME-26SEP09NESEA-SEA,SEA,2,2,0.6758000000000001,0.01584455272768548,0.01584455272768548,0.01584455272768548,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
9,KXNFLGAME-26SEP13BUFHOU-HOU,HOU,2,2,0.5275,0.008207984640116628,0.008207984640116628,0.008207984640116628,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
10,KXNFLGAME-26SEP13ARILAC-ARI,ARI,2,2,0.2008,0.007395914155655381,0.007395914155655381,0.007395914155655381,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
11,KXNFLGAME-26SEP13NODET-DET,DET,2,2,0.7824,0.005822076704720236,0.005822076704720236,0.005822076704720236,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
12,KXNFLGAME-26SEP13ATLPIT-PIT,PIT,2,2,0.6168,0.004023220936636873,0.004023220936636873,0.004023220936636873,0.0,repeat_positive_cost_caveated,minimum repeated margin below robust threshold 0.0200; fee is estimated from executable price
